#title,case,Default-acc-2,Default-miss-3,Default-reloc-4,Default-macc-5,Default-missrate-6,Default-energy-7,Sp2021-acc-8,sp2021-miss-9,sp2021-reloc-10,sp2021-macc-11,sp2021-missrate-12,sp2021-energy-13,Ceaser-s-acc-14,Ceaser-s-miss-15,Ceaser-s-reloc-16,Ceaser-s-macc-17,Ceaser-s-missrate-18,Ceaser-s-energy-19,Chameleon-acc-20,Chameleon-miss-21,Chameleon-reloc-22,Chameleon-macc-23,Chameleon-missrate-24,Chameleon-energy-25,Mirage-50-acc-26,Mirage-50-miss-27,Mirage-50-reloc-28,Mirage-50-macc-29,Mirage-50-missrate-30,Mirage-50-energy-31,Mirage-75-acc-32,Mirage-75-miss-33,Mirage-75-reloc-34,Mirage-75-macc-35,Mirage-75-missrate-36,Mirage-75-energy-37,Seqass-acc-38,Seqass-miss-39,Seqass-reloc-40,Seqass-macc-41,Seqass-missrate-42,Seqass-energy-43
0,mcore-12          ,200000000,143837298.326526,0,219598141.716818,0.719186491632629,549053163.806019,200000000,143455836.203729,14131835.3374071,220624608.730234,0.717279181018646,602976966.619574,200000000,145304226.768332,2058310.67920276,223895200.968551,0.726521133841658,575619746.105392,200000000,144835030.915708,434506503.5431,224121223.469928,0.724175154578542,1194356117.51739,200000000,148109564.871417,0,229050740.35836,0.740547824357086,838723433.291761,200000000,148230854.30492,0,229199858.472051,0.741154271524598,903198859.45653,200000000,143399024.364371,21913001.2737775,217792983.45373,0.716995121821854,716786139.176787
1,mcore-8           ,200000000,138708876.747768,0,221750053.40932,0.693544383738841,539500429.391812,200000000,137174501.932943,13479313.8596648,200467964.210681,0.685872509664716,589493215.693428,200000000,146699350.118601,2800746.08109238,228546020.774413,0.733496750593003,580088139.073732,200000000,141736902.949807,425212222.084855,226573565.022123,0.708684514749036,1175117057.84912,200000000,144992252.319332,1,232034693.039749,0.72496126159666,829838742.231567,200000000,147466839.427841,0,231561399.618528,0.737334197139207,900949442.844358,200000000,138023644.241907,21013002.8045982,219688675.315873,0.690118221209533,701103593.211466
2,mcore-7           ,200000000,132784460.136431,0,182720238.043616,0.663922300682157,528464991.376803,200000000,132248935.857346,12982049.8587593,181474652.8849,0.66124467928673,578955575.520921,200000000,134153089.469923,1709878.19067237,186240440.028851,0.670765447349614,553762279.011768,200000000,133996666.48381,401991454.306881,184320610.938629,0.669983332419052,1127050585.93221,200000000,137052106.076964,2,188353333.645653,0.685260530384818,807208428.968151,200000000,136233104.752787,0,187319135.842902,0.681165523763937,867875022.236957,200000000,133448556.796036,20572679.7164188,183604291.65698,0.667242783980182,688564105.067307
3,mcore-3           ,200000000,120417855.376092,0,177377879.428657,0.602089276880459,505429659.927002,200000000,119847579.581678,11772059.9799174,177716935.101241,0.599237897908389,552528600.254217,200000000,118562587.36034,1825513.78575493,177530076.588823,0.5928129368017,524698638.068285,200000000,121763222.62785,365290850.447957,180605090.358936,0.608816113139249,1051081302.68517,200000000,123240939.392531,0,182821332.496574,0.616204696962655,767845034.3051,200000000,121510604.221747,0,180719323.716209,0.607553021108733,824528958.880338,200000000,119154009.992993,18218103.6901438,176803890.078442,0.595770049964963,646956276.932532
4,mcore-17          ,200000000,119938868.572749,0,165145963.001201,0.599694342863745,504537449.009866,200000000,119732923.190482,11861469.7664244,165260855.221029,0.598664615952409,552533846.115774,200000000,116094819.983771,2046374.70086685,163293855.394411,0.580474099918854,520600788.79114,200000000,119856407.044176,359571106.545252,165670516.14269,0.599282035220881,1039240966.56316,200000000,122171009.921681,0,169504080.867458,0.610855049608403,764795614.143663,200000000,122094587.876074,0,168997284.614746,0.610472939380368,826248326.621322,200000000,119729859.367195,18243941.4317192,165143779.549964,0.598649296835974,648461159.337407
5,mcore-1           ,200000000,100961194.612119,0,147363843.142072,0.504805973060597,469187648.615878,200000000,101465203.219039,10001112.6802495,147086694.845029,0.507326016095197,513412306.681051,200000000,103399949.00574,2317229.4794755,151437261.246778,0.516999745028698,497373526.311495,200000000,102326583.332149,306981137.275751,149947488.144472,0.511632916660743,930381204.822288,200000000,106273582.730566,0,154365516.223492,0.531367913652828,719486146.265356,200000000,105512017.297368,0,153969903.048825,0.527560086486842,777425835.265003,200000000,100832828.702214,15487691.3620789,147010006.008888,0.50416414351107,594341210.316984
6,mcore-2           ,200000000,95350537.6286002,0,121919978.590092,0.476752688143001,458736652.099761,200000000,95135325.388903,9522642.51020503,121823184.184838,0.475676626944515,500268674.448859,200000000,91368107.110264,1796748.53968553,120105566.69241,0.45684053555132,473431209.200198,200000000,93273219.0533183,279821635.83303,120873999.860025,0.466366095266591,874161095.931976,200000000,95647221.2345217,0,124105893.986682,0.478236106172609,689199812.566192,200000000,95714509.5837333,0,124194038.292067,0.478572547918666,748579961.617603,200000000,95475523.6387508,14649175.9416802,122023042.807634,0.477377618193754,578856465.739845
7,mcore-11          ,200000000,92475025.4426768,0,132145563.730329,0.462375127213384,453380422.352441,200000000,96755362.6384084,9575212.18462051,139960084.394067,0.483776813192042,503459202.079477,200000000,96600712.4088924,2199995.61548047,144219002.143967,0.483003562044462,484282498.012255,200000000,101672090.48848,305019442.62252,151231982.099325,0.508360452442401,926319059.912665,200000000,104978372.302581,0,156272039.145691,0.524891861512907,715794649.86302,200000000,104164234.661463,0,155343744.590619,0.520821173307317,773457686.552513,200000000,93131726.3831064,14569151.2309763,133432340.183112,0.465658631915532,572793743.850743
8,mcore-15          ,200000000,90860926.1219299,0,153846825.985205,0.454304630609649,450373832.13897,200000000,91757583.8181406,8856911.99072137,155318257.612725,0.458787919090703,492236778.117374,200000000,90176018.7817305,1821073.9434572,153067373.805286,0.450880093908652,471247345.507305,200000000,91450504.3442734,274352335.953811,154442328.82996,0.457252521721367,862840712.334887,200000000,94536254.3831526,1,158904158.624415,0.472681271915763,686033433.971689,200000000,94707003.4855509,0,159488203.173939,0.473535017427755,745613656.873927,200000000,91535308.79275,14017557.5010487,154981082.987906,0.45767654396375,567430691.549858
9,mcore-0           ,200000000,83803590.5990213,0,138619412.232294,0.419017952995107,437228100.867278,200000000,84525704.1569617,8387906.22582562,139935152.325481,0.422628520784809,477412826.251635,200000000,82389189.2446374,1548397.78212856,136153857.262927,0.411945946223187,455911439.324016,200000000,85165484.4009349,255497844.781914,140786474.988175,0.425827422004675,823811825.763395,200000000,88660366.4382779,1,145807534.805242,0.443301832191389,669286487.884487,200000000,89013373.6075816,0,146366794.212872,0.445066868037908,728850441.895653,200000000,84278179.2293553,13043074.4566591,139621265.765608,0.421390896146777,546855205.958895
10,mcore-19          ,200000000,78110997.6225834,0,130138672.358124,0.390554988112917,426624481.801065,200000000,78306189.7270558,7958573.20273022,130502910.114419,0.391530948635279,464599567.514047,200000000,84992711.8638339,2039712.32414622,143765978.989617,0.42496355931917,462031733.935568,200000000,83874959.3553494,251629256.108389,140886948.473501,0.419374796776747,815801453.311691,200000000,94478169.1774968,0,158230829.44572,0.472390845887484,685867881.808525,200000000,93889870.094783,0,157018696.447248,0.469449350473915,743207848.454878,200000000,77838031.6212134,11995143.6428291,129577362.002454,0.389190158106067,528141521.734902
11,mcore-10          ,200000000,78055319.4717769,0,128523485.311686,0.390276597358884,426520769.853995,200000000,76099396.5566271,11200597.9552649,124905933.843688,0.380496982783136,468474444.619621,200000000,75527357.6482493,2704196.23465781,124177957.787193,0.377636788241246,445860903.633094,200000000,80181237.0396528,240545674.473264,131225121.110492,0.400906185198264,792860661.971783,200000000,82934365.0754588,0,135207761.20549,0.414671825377294,652966732.781902,200000000,80804981.9469101,0,132000250.131722,0.404024909734551,704683252.074248,200000000,75332799.6168614,11727922.8473251,124110957.479725,0.376663998084307,521210342.758034
12,mcore-9           ,200000000,76946124.4856505,0,110573345.735603,0.384730622428252,424454667.262133,200000000,77368574.1102882,7715338.92703712,111220121.048095,0.386842870551441,462225043.090257,200000000,78958390.3345625,1804770.17660086,114594303.349898,0.394791951672813,450088698.573074,200000000,79766637.7810186,239302260.017393,114772807.284156,0.398833188905093,790286501.872194,200000000,86511190.160013,0,122554659.144492,0.432555950800065,663161089.348323,200000000,86477984.3060805,0,122490524.123074,0.432389921530402,721385735.40338,200000000,76976296.0513914,11825554.7707467,110631481.063268,0.384881480256957,525564621.554038
13,mcore-5           ,200000000,66523948.210663,0,107141612.332721,0.332619741053315,405041231.676924,200000000,69956012.2283407,7005271.18377719,110921238.666947,0.349780061141704,446461735.312602,200000000,69157616.1932109,2075414.44120909,109600595.894694,0.345788080966055,432309312.334318,200000000,71168960.0037929,213508492.681376,112873963.856439,0.355844800018965,736894532.092354,200000000,73923128.9594502,0,117247481.614973,0.369615644797251,627283689.328788,200000000,71838137.2705045,0,115429471.052562,0.359190686352523,678283020.90204,200000000,67020322.2101805,10429242.9937934,107766934.164553,0.335101611050902,497189864.041323
14,mcore-14          ,200000000,58334616.5673059,0,93534534.358247,0.291673082836529,389786926.035811,200000000,58164736.0853392,5891917.52099977,93176140.0789585,0.290823680426696,421426896.486556,200000000,55941705.8251899,1749581.89942135,88656392.5563366,0.279708529125949,406620792.976403,200000000,59776260.1807819,179330561.93326,95764846.8667863,0.298881300903909,666146766.179326,200000000,62977928.322049,1,100826299.796469,0.314889641610245,596088630.717118,200000000,63434585.6111679,0,101521388.969031,0.317172928055839,653541239.987975,200000000,56928369.221148,9200861.18013153,91393239.0664228,0.28464184610574,468891629.108446
