warm up finished
test 0: 1 use 300453 random addresses, collected 16 cloc addrs
test 1: 2 use 226301 random addresses, collected 16 cloc addrs
test 2: 3 use 248241 random addresses, collected 16 cloc addrs
test 3: 4 use 176506 random addresses, collected 16 cloc addrs
test 4: 5 use 225557 random addresses, collected 16 cloc addrs
test 5: 6 use 258061 random addresses, collected 16 cloc addrs
test 6: 7 use 382675 random addresses, collected 16 cloc addrs
test 7: 8 use 255054 random addresses, collected 16 cloc addrs
test 8: 9 use 192752 random addresses, collected 16 cloc addrs
test 9: 10 use 354791 random addresses, collected 16 cloc addrs
test 10: 11 use 235884 random addresses, collected 16 cloc addrs
test 11: 12 use 251257 random addresses, collected 16 cloc addrs
test 12: 13 use 249373 random addresses, collected 16 cloc addrs
test 13: 14 use 461470 random addresses, collected 16 cloc addrs
test 14: 15 use 287146 random addresses, collected 16 cloc addrs
test 15: 16 use 310613 random addresses, collected 16 cloc addrs
test 16: 17 use 335259 random addresses, collected 16 cloc addrs
test 17: 18 use 237852 random addresses, collected 16 cloc addrs
test 18: 19 use 247465 random addresses, collected 16 cloc addrs
test 19: 20 use 469455 random addresses, collected 16 cloc addrs
success rate: 1 using 648376 evictions.
