warm up finished
test 0: 0 use 106493 random addresses, collected 0 cloc addr
test 1: 0 use 108413 random addresses, collected 0 cloc addr
test 2: 0 use 107253 random addresses, collected 0 cloc addr
test 3: 1 use 107467 random addresses, collected 16 cloc addr
test 4: 1 use 106452 random addresses, collected 0 cloc addr
test 5: 1 use 106685 random addresses, collected 0 cloc addr
test 6: 1 use 108090 random addresses, collected 0 cloc addr
test 7: 1 use 107448 random addresses, collected 0 cloc addr
test 8: 1 use 107299 random addresses, collected 0 cloc addr
test 9: 1 use 108048 random addresses, collected 0 cloc addr
test 10: 1 use 107061 random addresses, collected 0 cloc addr
test 11: 1 use 107555 random addresses, collected 0 cloc addr
test 12: 2 use 106774 random addresses, collected 16 cloc addr
test 13: 2 use 109170 random addresses, collected 0 cloc addr
test 14: 2 use 107335 random addresses, collected 0 cloc addr
test 15: 3 use 106155 random addresses, collected 16 cloc addr
test 16: 3 use 106071 random addresses, collected 0 cloc addr
test 17: 3 use 107325 random addresses, collected 0 cloc addr
test 18: 3 use 108020 random addresses, collected 0 cloc addr
test 19: 3 use 107254 random addresses, collected 0 cloc addr
test 20: 3 use 107776 random addresses, collected 0 cloc addr
test 21: 3 use 107924 random addresses, collected 0 cloc addr
test 22: 3 use 107829 random addresses, collected 0 cloc addr
test 23: 3 use 108544 random addresses, collected 0 cloc addr
test 24: 3 use 106770 random addresses, collected 0 cloc addr
test 25: 3 use 107734 random addresses, collected 0 cloc addr
test 26: 3 use 106643 random addresses, collected 0 cloc addr
test 27: 3 use 107679 random addresses, collected 0 cloc addr
test 28: 3 use 107567 random addresses, collected 0 cloc addr
test 29: 3 use 107647 random addresses, collected 0 cloc addr
test 30: 3 use 105481 random addresses, collected 0 cloc addr
test 31: 3 use 106602 random addresses, collected 0 cloc addr
test 32: 4 use 108130 random addresses, collected 16 cloc addr
test 33: 4 use 106304 random addresses, collected 0 cloc addr
test 34: 4 use 107084 random addresses, collected 0 cloc addr
test 35: 4 use 106800 random addresses, collected 0 cloc addr
test 36: 4 use 108028 random addresses, collected 0 cloc addr
test 37: 4 use 108316 random addresses, collected 0 cloc addr
test 38: 4 use 107198 random addresses, collected 0 cloc addr
test 39: 4 use 107839 random addresses, collected 0 cloc addr
test 40: 5 use 105942 random addresses, collected 16 cloc addr
test 41: 5 use 108051 random addresses, collected 0 cloc addr
test 42: 5 use 107455 random addresses, collected 0 cloc addr
test 43: 5 use 107729 random addresses, collected 0 cloc addr
test 44: 5 use 105924 random addresses, collected 0 cloc addr
test 45: 5 use 108089 random addresses, collected 0 cloc addr
test 46: 6 use 106980 random addresses, collected 16 cloc addr
test 47: 6 use 106983 random addresses, collected 0 cloc addr
test 48: 6 use 108152 random addresses, collected 0 cloc addr
test 49: 6 use 109198 random addresses, collected 0 cloc addr
test 50: 6 use 107396 random addresses, collected 0 cloc addr
test 51: 6 use 107806 random addresses, collected 0 cloc addr
test 52: 6 use 106848 random addresses, collected 0 cloc addr
test 53: 6 use 107396 random addresses, collected 0 cloc addr
test 54: 7 use 107534 random addresses, collected 16 cloc addr
test 55: 7 use 107785 random addresses, collected 0 cloc addr
test 56: 7 use 107971 random addresses, collected 0 cloc addr
test 57: 7 use 107040 random addresses, collected 0 cloc addr
test 58: 7 use 107128 random addresses, collected 0 cloc addr
test 59: 7 use 108042 random addresses, collected 0 cloc addr
test 60: 7 use 106895 random addresses, collected 0 cloc addr
test 61: 7 use 107231 random addresses, collected 0 cloc addr
test 62: 7 use 107135 random addresses, collected 0 cloc addr
test 63: 7 use 107781 random addresses, collected 0 cloc addr
test 64: 7 use 106717 random addresses, collected 0 cloc addr
test 65: 8 use 106881 random addresses, collected 16 cloc addr
test 66: 8 use 108231 random addresses, collected 0 cloc addr
test 67: 8 use 106064 random addresses, collected 0 cloc addr
test 68: 8 use 107106 random addresses, collected 0 cloc addr
test 69: 8 use 107156 random addresses, collected 0 cloc addr
test 70: 8 use 106851 random addresses, collected 0 cloc addr
test 71: 8 use 106902 random addresses, collected 0 cloc addr
test 72: 8 use 109074 random addresses, collected 0 cloc addr
test 73: 8 use 106148 random addresses, collected 0 cloc addr
test 74: 8 use 107541 random addresses, collected 0 cloc addr
test 75: 8 use 108411 random addresses, collected 0 cloc addr
test 76: 8 use 108097 random addresses, collected 0 cloc addr
test 77: 8 use 106960 random addresses, collected 0 cloc addr
test 78: 8 use 106730 random addresses, collected 0 cloc addr
test 79: 9 use 107449 random addresses, collected 16 cloc addr
test 80: 10 use 106681 random addresses, collected 16 cloc addr
test 81: 10 use 106770 random addresses, collected 0 cloc addr
test 82: 10 use 106675 random addresses, collected 0 cloc addr
test 83: 10 use 108282 random addresses, collected 0 cloc addr
test 84: 10 use 108009 random addresses, collected 0 cloc addr
test 85: 10 use 107447 random addresses, collected 0 cloc addr
test 86: 10 use 108070 random addresses, collected 0 cloc addr
test 87: 10 use 107580 random addresses, collected 0 cloc addr
test 88: 10 use 107994 random addresses, collected 0 cloc addr
test 89: 10 use 107278 random addresses, collected 0 cloc addr
test 90: 10 use 107000 random addresses, collected 0 cloc addr
test 91: 10 use 107388 random addresses, collected 0 cloc addr
test 92: 10 use 106343 random addresses, collected 0 cloc addr
test 93: 10 use 108029 random addresses, collected 0 cloc addr
test 94: 10 use 107113 random addresses, collected 0 cloc addr
test 95: 10 use 108236 random addresses, collected 0 cloc addr
test 96: 10 use 106327 random addresses, collected 0 cloc addr
test 97: 10 use 106897 random addresses, collected 0 cloc addr
test 98: 10 use 108511 random addresses, collected 0 cloc addr
test 99: 10 use 107999 random addresses, collected 0 cloc addr
success rate: 0.1 using 443127 evictions.
