warm up finished
test 0: 0 use 393458 random addresses, collected 0 cloc addrs
test 1: 0 use 499469 random addresses, collected 0 cloc addrs
test 2: 0 use 298873 random addresses, collected 0 cloc addrs
test 3: 0 use 232175 random addresses, collected 0 cloc addrs
test 4: 0 use 132810 random addresses, collected 0 cloc addrs
test 5: 0 use 239133 random addresses, collected 0 cloc addrs
test 6: 0 use 58790 random addresses, collected 0 cloc addrs
test 7: 0 use 367310 random addresses, collected 0 cloc addrs
test 8: 0 use 273062 random addresses, collected 0 cloc addrs
test 9: 0 use 629811 random addresses, collected 0 cloc addrs
test 10: 0 use 166053 random addresses, collected 0 cloc addrs
test 11: 0 use 610386 random addresses, collected 0 cloc addrs
test 12: 0 use 163446 random addresses, collected 0 cloc addrs
test 13: 0 use 81553 random addresses, collected 0 cloc addrs
test 14: 0 use 435112 random addresses, collected 0 cloc addrs
test 15: 0 use 421195 random addresses, collected 0 cloc addrs
test 16: 0 use 977013 random addresses, collected 0 cloc addrs
test 17: 0 use 437053 random addresses, collected 0 cloc addrs
test 18: 0 use 886958 random addresses, collected 0 cloc addrs
test 19: 0 use 423644 random addresses, collected 0 cloc addrs
success rate: 0 using 1.03481e+06 evictions.
