warm up finished
test 0: 0 use 124646 random addresses, collected 0 cloc addr
test 1: 0 use 57458 random addresses, collected 0 cloc addr
test 2: 0 use 76541 random addresses, collected 0 cloc addr
test 3: 0 use 68259 random addresses, collected 0 cloc addr
test 4: 0 use 72260 random addresses, collected 0 cloc addr
test 5: 0 use 69008 random addresses, collected 0 cloc addr
test 6: 0 use 70889 random addresses, collected 0 cloc addr
test 7: 0 use 70870 random addresses, collected 0 cloc addr
test 8: 0 use 70555 random addresses, collected 0 cloc addr
test 9: 0 use 70996 random addresses, collected 0 cloc addr
test 10: 0 use 70332 random addresses, collected 0 cloc addr
test 11: 0 use 70827 random addresses, collected 0 cloc addr
test 12: 0 use 70391 random addresses, collected 0 cloc addr
test 13: 0 use 70449 random addresses, collected 0 cloc addr
test 14: 0 use 70776 random addresses, collected 0 cloc addr
test 15: 0 use 71057 random addresses, collected 0 cloc addr
test 16: 0 use 70673 random addresses, collected 0 cloc addr
test 17: 0 use 71054 random addresses, collected 0 cloc addr
test 18: 0 use 70590 random addresses, collected 0 cloc addr
test 19: 0 use 70771 random addresses, collected 0 cloc addr
success rate: 0 using 477558 evictions.
