warm up finished
test 0: 0 use 8 random addresses, collected 0 cloc addrs
test 1: 0 use 8 random addresses, collected 0 cloc addrs
test 2: 0 use 8 random addresses, collected 0 cloc addrs
test 3: 0 use 259552 random addresses, collected 0 cloc addrs
test 4: 0 use 8 random addresses, collected 0 cloc addrs
test 5: 0 use 8 random addresses, collected 0 cloc addrs
test 6: 0 use 8 random addresses, collected 0 cloc addrs
test 7: 0 use 8 random addresses, collected 0 cloc addrs
test 8: 0 use 18414 random addresses, collected 0 cloc addrs
test 9: 0 use 8 random addresses, collected 0 cloc addrs
test 10: 0 use 8 random addresses, collected 0 cloc addrs
test 11: 0 use 8 random addresses, collected 0 cloc addrs
test 12: 0 use 350981 random addresses, collected 0 cloc addrs
test 13: 0 use 384594 random addresses, collected 0 cloc addrs
test 14: 0 use 135859 random addresses, collected 0 cloc addrs
test 15: 0 use 8 random addresses, collected 0 cloc addrs
test 16: 0 use 8 random addresses, collected 0 cloc addrs
test 17: 0 use 14506 random addresses, collected 0 cloc addrs
test 18: 0 use 253226 random addresses, collected 0 cloc addrs
test 19: 0 use 103056 random addresses, collected 0 cloc addrs
success rate: 0 using 76012.4 evictions.
