warm up finished
test 0: 0 use 226247 random addresses, collected 0 cloc addrs
test 1: 0 use 180410 random addresses, collected 0 cloc addrs
test 2: 0 use 95233 random addresses, collected 0 cloc addrs
test 3: 0 use 137989 random addresses, collected 0 cloc addrs
test 4: 0 use 162655 random addresses, collected 0 cloc addrs
test 5: 0 use 466403 random addresses, collected 0 cloc addrs
test 6: 0 use 250687 random addresses, collected 0 cloc addrs
test 7: 0 use 314145 random addresses, collected 0 cloc addrs
test 8: 0 use 303001 random addresses, collected 0 cloc addrs
test 9: 0 use 48359 random addresses, collected 0 cloc addrs
test 10: 0 use 104172 random addresses, collected 0 cloc addrs
test 11: 0 use 79672 random addresses, collected 0 cloc addrs
test 12: 0 use 127627 random addresses, collected 0 cloc addrs
test 13: 0 use 260637 random addresses, collected 0 cloc addrs
test 14: 0 use 119506 random addresses, collected 0 cloc addrs
test 15: 0 use 277523 random addresses, collected 0 cloc addrs
test 16: 0 use 203615 random addresses, collected 0 cloc addrs
test 17: 0 use 245080 random addresses, collected 0 cloc addrs
test 18: 0 use 117982 random addresses, collected 0 cloc addrs
test 19: 0 use 78121 random addresses, collected 0 cloc addrs
test 20: 0 use 446693 random addresses, collected 0 cloc addrs
test 21: 0 use 267966 random addresses, collected 0 cloc addrs
test 22: 0 use 151711 random addresses, collected 0 cloc addrs
test 23: 0 use 177668 random addresses, collected 0 cloc addrs
test 24: 0 use 74232 random addresses, collected 0 cloc addrs
test 25: 0 use 146966 random addresses, collected 0 cloc addrs
test 26: 0 use 310328 random addresses, collected 0 cloc addrs
test 27: 0 use 328587 random addresses, collected 0 cloc addrs
test 28: 0 use 252213 random addresses, collected 0 cloc addrs
test 29: 0 use 308227 random addresses, collected 0 cloc addrs
test 30: 0 use 548073 random addresses, collected 0 cloc addrs
test 31: 0 use 179021 random addresses, collected 0 cloc addrs
test 32: 0 use 141451 random addresses, collected 0 cloc addrs
test 33: 0 use 81792 random addresses, collected 0 cloc addrs
test 34: 0 use 812135 random addresses, collected 0 cloc addrs
test 35: 0 use 297408 random addresses, collected 0 cloc addrs
test 36: 0 use 75021 random addresses, collected 0 cloc addrs
test 37: 0 use 176459 random addresses, collected 0 cloc addrs
test 38: 0 use 116850 random addresses, collected 0 cloc addrs
test 39: 0 use 796105 random addresses, collected 0 cloc addrs
test 40: 0 use 63022 random addresses, collected 0 cloc addrs
test 41: 0 use 278537 random addresses, collected 0 cloc addrs
test 42: 0 use 202707 random addresses, collected 0 cloc addrs
test 43: 0 use 141347 random addresses, collected 0 cloc addrs
test 44: 0 use 579833 random addresses, collected 0 cloc addrs
test 45: 0 use 88105 random addresses, collected 0 cloc addrs
test 46: 0 use 86179 random addresses, collected 0 cloc addrs
test 47: 0 use 85175 random addresses, collected 0 cloc addrs
test 48: 0 use 192419 random addresses, collected 0 cloc addrs
test 49: 0 use 422839 random addresses, collected 0 cloc addrs
test 50: 0 use 336977 random addresses, collected 0 cloc addrs
test 51: 0 use 314682 random addresses, collected 0 cloc addrs
test 52: 0 use 237269 random addresses, collected 0 cloc addrs
test 53: 0 use 409191 random addresses, collected 0 cloc addrs
test 54: 0 use 783928 random addresses, collected 0 cloc addrs
test 55: 0 use 496605 random addresses, collected 0 cloc addrs
test 56: 0 use 487699 random addresses, collected 0 cloc addrs
test 57: 0 use 482993 random addresses, collected 0 cloc addrs
test 58: 0 use 155679 random addresses, collected 0 cloc addrs
test 59: 0 use 186149 random addresses, collected 0 cloc addrs
test 60: 0 use 516769 random addresses, collected 0 cloc addrs
test 61: 0 use 747152 random addresses, collected 0 cloc addrs
test 62: 0 use 321822 random addresses, collected 0 cloc addrs
test 63: 0 use 660554 random addresses, collected 0 cloc addrs
test 64: 0 use 98413 random addresses, collected 0 cloc addrs
test 65: 0 use 92251 random addresses, collected 0 cloc addrs
test 66: 0 use 302544 random addresses, collected 0 cloc addrs
test 67: 0 use 885955 random addresses, collected 0 cloc addrs
test 68: 0 use 54050 random addresses, collected 0 cloc addrs
test 69: 0 use 195878 random addresses, collected 0 cloc addrs
test 70: 0 use 134188 random addresses, collected 0 cloc addrs
test 71: 0 use 409347 random addresses, collected 0 cloc addrs
test 72: 0 use 302107 random addresses, collected 0 cloc addrs
test 73: 0 use 347361 random addresses, collected 0 cloc addrs
test 74: 0 use 108197 random addresses, collected 0 cloc addrs
test 75: 0 use 115504 random addresses, collected 0 cloc addrs
test 76: 0 use 207287 random addresses, collected 0 cloc addrs
test 77: 0 use 54930 random addresses, collected 0 cloc addrs
test 78: 0 use 566414 random addresses, collected 0 cloc addrs
test 79: 0 use 334501 random addresses, collected 0 cloc addrs
test 80: 0 use 83382 random addresses, collected 0 cloc addrs
test 81: 0 use 1026854 random addresses, collected 0 cloc addrs
test 82: 0 use 629444 random addresses, collected 0 cloc addrs
test 83: 0 use 200055 random addresses, collected 0 cloc addrs
test 84: 0 use 410531 random addresses, collected 0 cloc addrs
test 85: 0 use 221100 random addresses, collected 0 cloc addrs
test 86: 0 use 416424 random addresses, collected 0 cloc addrs
test 87: 0 use 132551 random addresses, collected 0 cloc addrs
test 88: 0 use 115749 random addresses, collected 0 cloc addrs
test 89: 0 use 95966 random addresses, collected 0 cloc addrs
test 90: 0 use 153642 random addresses, collected 0 cloc addrs
test 91: 0 use 320525 random addresses, collected 0 cloc addrs
test 92: 0 use 40933 random addresses, collected 0 cloc addrs
test 93: 0 use 141821 random addresses, collected 0 cloc addrs
test 94: 0 use 412730 random addresses, collected 0 cloc addrs
test 95: 0 use 437319 random addresses, collected 0 cloc addrs
test 96: 0 use 117418 random addresses, collected 0 cloc addrs
test 97: 0 use 60287 random addresses, collected 0 cloc addrs
test 98: 0 use 128193 random addresses, collected 0 cloc addrs
test 99: 0 use 115277 random addresses, collected 0 cloc addrs
success rate: 0 using 272348 evictions.
