warm up finished
test 0: 0 use 78750 random addresses, collected 0 cloc addrs
test 1: 0 use 176200 random addresses, collected 0 cloc addrs
test 2: 0 use 137659 random addresses, collected 0 cloc addrs
test 3: 0 use 318856 random addresses, collected 0 cloc addrs
test 4: 0 use 161814 random addresses, collected 0 cloc addrs
test 5: 0 use 302272 random addresses, collected 0 cloc addrs
test 6: 0 use 374504 random addresses, collected 0 cloc addrs
test 7: 0 use 88751 random addresses, collected 0 cloc addrs
test 8: 0 use 231445 random addresses, collected 0 cloc addrs
test 9: 0 use 179106 random addresses, collected 0 cloc addrs
test 10: 0 use 86627 random addresses, collected 0 cloc addrs
test 11: 0 use 131308 random addresses, collected 0 cloc addrs
test 12: 0 use 657763 random addresses, collected 0 cloc addrs
test 13: 0 use 400255 random addresses, collected 0 cloc addrs
test 14: 0 use 83117 random addresses, collected 0 cloc addrs
test 15: 0 use 625771 random addresses, collected 0 cloc addrs
test 16: 0 use 105674 random addresses, collected 0 cloc addrs
test 17: 0 use 143383 random addresses, collected 0 cloc addrs
test 18: 0 use 233767 random addresses, collected 0 cloc addrs
test 19: 0 use 243294 random addresses, collected 0 cloc addrs
success rate: 0 using 467704 evictions.
