warm up finished
test 0: 0 use 97275 random addresses, collected 0 cloc addr
test 1: 0 use 97127 random addresses, collected 0 cloc addr
test 2: 0 use 97461 random addresses, collected 0 cloc addr
test 3: 0 use 97585 random addresses, collected 0 cloc addr
test 4: 0 use 97374 random addresses, collected 0 cloc addr
test 5: 0 use 97645 random addresses, collected 0 cloc addr
test 6: 0 use 97754 random addresses, collected 0 cloc addr
test 7: 0 use 97045 random addresses, collected 0 cloc addr
test 8: 0 use 97505 random addresses, collected 0 cloc addr
test 9: 0 use 97456 random addresses, collected 0 cloc addr
test 10: 0 use 97201 random addresses, collected 0 cloc addr
test 11: 0 use 97412 random addresses, collected 0 cloc addr
test 12: 0 use 97397 random addresses, collected 0 cloc addr
test 13: 0 use 97573 random addresses, collected 0 cloc addr
test 14: 0 use 97320 random addresses, collected 0 cloc addr
test 15: 0 use 97178 random addresses, collected 0 cloc addr
test 16: 0 use 97798 random addresses, collected 0 cloc addr
test 17: 0 use 97360 random addresses, collected 0 cloc addr
test 18: 0 use 97043 random addresses, collected 0 cloc addr
test 19: 0 use 97602 random addresses, collected 0 cloc addr
success rate: 0 using 453095 evictions.
