warm up finished
test 0: 0 use 141606 random addresses, collected 0 cloc addrs
test 1: 0 use 371540 random addresses, collected 0 cloc addrs
test 2: 0 use 517627 random addresses, collected 0 cloc addrs
test 3: 0 use 271051 random addresses, collected 0 cloc addrs
test 4: 0 use 236140 random addresses, collected 0 cloc addrs
test 5: 0 use 95331 random addresses, collected 0 cloc addrs
test 6: 0 use 81905 random addresses, collected 0 cloc addrs
test 7: 0 use 102585 random addresses, collected 0 cloc addrs
test 8: 0 use 62767 random addresses, collected 0 cloc addrs
test 9: 0 use 901465 random addresses, collected 0 cloc addrs
test 10: 0 use 76055 random addresses, collected 0 cloc addrs
test 11: 0 use 18065 random addresses, collected 0 cloc addrs
test 12: 0 use 137600 random addresses, collected 0 cloc addrs
test 13: 0 use 304635 random addresses, collected 0 cloc addrs
test 14: 0 use 339383 random addresses, collected 0 cloc addrs
test 15: 0 use 609993 random addresses, collected 0 cloc addrs
test 16: 0 use 102338 random addresses, collected 0 cloc addrs
test 17: 0 use 717639 random addresses, collected 0 cloc addrs
test 18: 0 use 215961 random addresses, collected 0 cloc addrs
test 19: 0 use 108882 random addresses, collected 0 cloc addrs
test 20: 0 use 188350 random addresses, collected 0 cloc addrs
test 21: 0 use 11824 random addresses, collected 0 cloc addrs
test 22: 0 use 119606 random addresses, collected 0 cloc addrs
test 23: 0 use 347682 random addresses, collected 0 cloc addrs
test 24: 0 use 94578 random addresses, collected 0 cloc addrs
test 25: 0 use 388117 random addresses, collected 0 cloc addrs
test 26: 0 use 275012 random addresses, collected 0 cloc addrs
test 27: 0 use 52746 random addresses, collected 0 cloc addrs
test 28: 0 use 194970 random addresses, collected 0 cloc addrs
test 29: 0 use 67408 random addresses, collected 0 cloc addrs
test 30: 0 use 29086 random addresses, collected 0 cloc addrs
test 31: 0 use 465596 random addresses, collected 0 cloc addrs
test 32: 0 use 345416 random addresses, collected 0 cloc addrs
test 33: 0 use 236396 random addresses, collected 0 cloc addrs
test 34: 0 use 2236881 random addresses, collected 0 cloc addrs
test 35: 0 use 593386 random addresses, collected 0 cloc addrs
test 36: 0 use 86055 random addresses, collected 0 cloc addrs
test 37: 0 use 142951 random addresses, collected 0 cloc addrs
test 38: 0 use 67166 random addresses, collected 0 cloc addrs
test 39: 0 use 212201 random addresses, collected 0 cloc addrs
test 40: 0 use 274506 random addresses, collected 0 cloc addrs
test 41: 0 use 467285 random addresses, collected 0 cloc addrs
test 42: 0 use 394091 random addresses, collected 0 cloc addrs
test 43: 0 use 305271 random addresses, collected 0 cloc addrs
test 44: 0 use 413100 random addresses, collected 0 cloc addrs
test 45: 0 use 7141 random addresses, collected 0 cloc addrs
test 46: 0 use 1995 random addresses, collected 0 cloc addrs
test 47: 0 use 152432 random addresses, collected 0 cloc addrs
test 48: 0 use 372175 random addresses, collected 0 cloc addrs
test 49: 0 use 131541 random addresses, collected 0 cloc addrs
test 50: 0 use 607201 random addresses, collected 0 cloc addrs
test 51: 0 use 98526 random addresses, collected 0 cloc addrs
test 52: 0 use 230005 random addresses, collected 0 cloc addrs
test 53: 0 use 213482 random addresses, collected 0 cloc addrs
test 54: 0 use 1390 random addresses, collected 0 cloc addrs
test 55: 0 use 343665 random addresses, collected 0 cloc addrs
test 56: 0 use 980208 random addresses, collected 0 cloc addrs
test 57: 0 use 275183 random addresses, collected 0 cloc addrs
test 58: 0 use 17478 random addresses, collected 0 cloc addrs
test 59: 0 use 36779 random addresses, collected 0 cloc addrs
test 60: 0 use 346637 random addresses, collected 0 cloc addrs
test 61: 0 use 202124 random addresses, collected 0 cloc addrs
test 62: 0 use 70193 random addresses, collected 0 cloc addrs
test 63: 0 use 33706 random addresses, collected 0 cloc addrs
test 64: 0 use 359962 random addresses, collected 0 cloc addrs
