warm up finished
test 0: 0 use 406409 random addresses, collected 0 cloc addrs
test 1: 0 use 194804 random addresses, collected 0 cloc addrs
test 2: 0 use 200657 random addresses, collected 0 cloc addrs
test 3: 0 use 346128 random addresses, collected 0 cloc addrs
test 4: 0 use 225864 random addresses, collected 0 cloc addrs
test 5: 0 use 245938 random addresses, collected 0 cloc addrs
test 6: 0 use 813297 random addresses, collected 0 cloc addrs
test 7: 0 use 119525 random addresses, collected 0 cloc addrs
test 8: 0 use 359303 random addresses, collected 0 cloc addrs
test 9: 0 use 952604 random addresses, collected 0 cloc addrs
test 10: 0 use 366477 random addresses, collected 0 cloc addrs
test 11: 0 use 9996 random addresses, collected 0 cloc addrs
test 12: 0 use 22321 random addresses, collected 0 cloc addrs
test 13: 0 use 203155 random addresses, collected 0 cloc addrs
test 14: 0 use 213760 random addresses, collected 0 cloc addrs
test 15: 0 use 118158 random addresses, collected 0 cloc addrs
test 16: 0 use 63511 random addresses, collected 0 cloc addrs
test 17: 0 use 717282 random addresses, collected 0 cloc addrs
test 18: 0 use 125140 random addresses, collected 0 cloc addrs
test 19: 0 use 197767 random addresses, collected 0 cloc addrs
test 20: 0 use 82252 random addresses, collected 0 cloc addrs
test 21: 0 use 143789 random addresses, collected 0 cloc addrs
test 22: 0 use 168448 random addresses, collected 0 cloc addrs
test 23: 0 use 277849 random addresses, collected 0 cloc addrs
test 24: 0 use 463210 random addresses, collected 0 cloc addrs
test 25: 0 use 506587 random addresses, collected 0 cloc addrs
test 26: 0 use 70448 random addresses, collected 0 cloc addrs
test 27: 0 use 195978 random addresses, collected 0 cloc addrs
test 28: 0 use 620521 random addresses, collected 0 cloc addrs
test 29: 0 use 509475 random addresses, collected 0 cloc addrs
test 30: 0 use 1343141 random addresses, collected 0 cloc addrs
test 31: 0 use 77873 random addresses, collected 0 cloc addrs
test 32: 0 use 34791 random addresses, collected 0 cloc addrs
test 33: 0 use 151342 random addresses, collected 0 cloc addrs
test 34: 0 use 253424 random addresses, collected 0 cloc addrs
test 35: 0 use 107698 random addresses, collected 0 cloc addrs
test 36: 0 use 458571 random addresses, collected 0 cloc addrs
test 37: 0 use 624139 random addresses, collected 0 cloc addrs
test 38: 0 use 184334 random addresses, collected 0 cloc addrs
test 39: 0 use 479755 random addresses, collected 0 cloc addrs
test 40: 0 use 46767 random addresses, collected 0 cloc addrs
test 41: 0 use 712934 random addresses, collected 0 cloc addrs
test 42: 0 use 200054 random addresses, collected 0 cloc addrs
test 43: 0 use 32459 random addresses, collected 0 cloc addrs
test 44: 0 use 33083 random addresses, collected 0 cloc addrs
test 45: 0 use 67923 random addresses, collected 0 cloc addrs
test 46: 0 use 306126 random addresses, collected 0 cloc addrs
test 47: 0 use 164060 random addresses, collected 0 cloc addrs
test 48: 0 use 653202 random addresses, collected 0 cloc addrs
test 49: 0 use 215277 random addresses, collected 0 cloc addrs
test 50: 0 use 119214 random addresses, collected 0 cloc addrs
test 51: 0 use 938678 random addresses, collected 0 cloc addrs
test 52: 0 use 53139 random addresses, collected 0 cloc addrs
test 53: 0 use 197249 random addresses, collected 0 cloc addrs
test 54: 0 use 11146 random addresses, collected 0 cloc addrs
test 55: 0 use 625363 random addresses, collected 0 cloc addrs
test 56: 0 use 109499 random addresses, collected 0 cloc addrs
test 57: 0 use 63118 random addresses, collected 0 cloc addrs
test 58: 0 use 1391188 random addresses, collected 0 cloc addrs
test 59: 0 use 708896 random addresses, collected 0 cloc addrs
test 60: 0 use 112137 random addresses, collected 0 cloc addrs
test 61: 0 use 346838 random addresses, collected 0 cloc addrs
test 62: 0 use 126440 random addresses, collected 0 cloc addrs
test 63: 0 use 307060 random addresses, collected 0 cloc addrs
test 64: 0 use 81285 random addresses, collected 0 cloc addrs
test 65: 0 use 20964 random addresses, collected 0 cloc addrs
test 66: 0 use 417000 random addresses, collected 0 cloc addrs
test 67: 0 use 34422 random addresses, collected 0 cloc addrs
test 68: 0 use 399769 random addresses, collected 0 cloc addrs
test 69: 0 use 306709 random addresses, collected 0 cloc addrs
test 70: 0 use 78159 random addresses, collected 0 cloc addrs
test 71: 0 use 305396 random addresses, collected 0 cloc addrs
test 72: 0 use 339747 random addresses, collected 0 cloc addrs
test 73: 0 use 65082 random addresses, collected 0 cloc addrs
test 74: 0 use 302032 random addresses, collected 0 cloc addrs
test 75: 0 use 329420 random addresses, collected 0 cloc addrs
test 76: 0 use 372320 random addresses, collected 0 cloc addrs
test 77: 0 use 302000 random addresses, collected 0 cloc addrs
test 78: 0 use 343034 random addresses, collected 0 cloc addrs
test 79: 0 use 15177 random addresses, collected 0 cloc addrs
test 80: 0 use 196836 random addresses, collected 0 cloc addrs
test 81: 0 use 219864 random addresses, collected 0 cloc addrs
test 82: 0 use 130944 random addresses, collected 0 cloc addrs
test 83: 0 use 2340 random addresses, collected 0 cloc addrs
test 84: 0 use 116747 random addresses, collected 0 cloc addrs
test 85: 0 use 505573 random addresses, collected 0 cloc addrs
test 86: 0 use 159426 random addresses, collected 0 cloc addrs
test 87: 0 use 199537 random addresses, collected 0 cloc addrs
test 88: 0 use 19587 random addresses, collected 0 cloc addrs
test 89: 0 use 480962 random addresses, collected 0 cloc addrs
test 90: 0 use 352868 random addresses, collected 0 cloc addrs
test 91: 0 use 6053 random addresses, collected 0 cloc addrs
test 92: 0 use 203832 random addresses, collected 0 cloc addrs
test 93: 0 use 536548 random addresses, collected 0 cloc addrs
test 94: 0 use 124981 random addresses, collected 0 cloc addrs
test 95: 0 use 35770 random addresses, collected 0 cloc addrs
test 96: 0 use 54873 random addresses, collected 0 cloc addrs
test 97: 0 use 1382888 random addresses, collected 0 cloc addrs
test 98: 0 use 27126 random addresses, collected 0 cloc addrs
test 99: 0 use 147022 random addresses, collected 0 cloc addrs
success rate: 0 using 288140 evictions.
