warm up finished
test 0: 0 use 38403 random addresses, collected 0 cloc addrs
test 1: 0 use 216341 random addresses, collected 0 cloc addrs
test 2: 0 use 592981 random addresses, collected 0 cloc addrs
test 3: 0 use 245578 random addresses, collected 0 cloc addrs
test 4: 0 use 910794 random addresses, collected 0 cloc addrs
test 5: 0 use 8450 random addresses, collected 0 cloc addrs
test 6: 0 use 910712 random addresses, collected 0 cloc addrs
test 7: 0 use 271740 random addresses, collected 0 cloc addrs
test 8: 0 use 5099 random addresses, collected 0 cloc addrs
test 9: 0 use 93165 random addresses, collected 0 cloc addrs
test 10: 0 use 209292 random addresses, collected 0 cloc addrs
test 11: 0 use 244270 random addresses, collected 0 cloc addrs
test 12: 0 use 206451 random addresses, collected 0 cloc addrs
test 13: 0 use 350482 random addresses, collected 0 cloc addrs
test 14: 0 use 1701014 random addresses, collected 0 cloc addrs
test 15: 0 use 359072 random addresses, collected 0 cloc addrs
test 16: 0 use 314133 random addresses, collected 0 cloc addrs
test 17: 0 use 21723 random addresses, collected 0 cloc addrs
test 18: 0 use 241081 random addresses, collected 0 cloc addrs
test 19: 0 use 66306 random addresses, collected 0 cloc addrs
test 20: 0 use 375574 random addresses, collected 0 cloc addrs
test 21: 0 use 17657 random addresses, collected 0 cloc addrs
test 22: 0 use 201564 random addresses, collected 0 cloc addrs
test 23: 0 use 344108 random addresses, collected 0 cloc addrs
test 24: 0 use 247184 random addresses, collected 0 cloc addrs
test 25: 0 use 123515 random addresses, collected 0 cloc addrs
test 26: 0 use 265730 random addresses, collected 0 cloc addrs
test 27: 0 use 163918 random addresses, collected 0 cloc addrs
test 28: 0 use 122575 random addresses, collected 0 cloc addrs
test 29: 0 use 224138 random addresses, collected 0 cloc addrs
test 30: 0 use 95589 random addresses, collected 0 cloc addrs
test 31: 0 use 296086 random addresses, collected 0 cloc addrs
test 32: 0 use 117794 random addresses, collected 0 cloc addrs
test 33: 0 use 78720 random addresses, collected 0 cloc addrs
test 34: 0 use 380097 random addresses, collected 0 cloc addrs
test 35: 0 use 436804 random addresses, collected 0 cloc addrs
test 36: 0 use 238342 random addresses, collected 0 cloc addrs
test 37: 0 use 94832 random addresses, collected 0 cloc addrs
test 38: 0 use 77644 random addresses, collected 0 cloc addrs
test 39: 0 use 108536 random addresses, collected 0 cloc addrs
test 40: 0 use 676294 random addresses, collected 0 cloc addrs
test 41: 0 use 45548 random addresses, collected 0 cloc addrs
test 42: 0 use 348720 random addresses, collected 0 cloc addrs
test 43: 0 use 428550 random addresses, collected 0 cloc addrs
test 44: 0 use 1385796 random addresses, collected 0 cloc addrs
test 45: 0 use 489432 random addresses, collected 0 cloc addrs
test 46: 0 use 183133 random addresses, collected 0 cloc addrs
test 47: 0 use 477565 random addresses, collected 0 cloc addrs
test 48: 0 use 209477 random addresses, collected 0 cloc addrs
test 49: 0 use 6831 random addresses, collected 0 cloc addrs
test 50: 0 use 130779 random addresses, collected 0 cloc addrs
test 51: 0 use 419295 random addresses, collected 0 cloc addrs
test 52: 0 use 262884 random addresses, collected 0 cloc addrs
test 53: 0 use 364144 random addresses, collected 0 cloc addrs
test 54: 0 use 73253 random addresses, collected 0 cloc addrs
test 55: 0 use 107541 random addresses, collected 0 cloc addrs
test 56: 0 use 87364 random addresses, collected 0 cloc addrs
test 57: 0 use 269048 random addresses, collected 0 cloc addrs
test 58: 0 use 289290 random addresses, collected 0 cloc addrs
test 59: 0 use 240797 random addresses, collected 0 cloc addrs
test 60: 0 use 241051 random addresses, collected 0 cloc addrs
