warm up finished
test 0: 0 use 81650 random addresses, collected 0 cloc addr
test 1: 0 use 81389 random addresses, collected 0 cloc addr
test 2: 0 use 80678 random addresses, collected 0 cloc addr
test 3: 0 use 81212 random addresses, collected 0 cloc addr
test 4: 0 use 81393 random addresses, collected 0 cloc addr
test 5: 0 use 80787 random addresses, collected 0 cloc addr
test 6: 0 use 81303 random addresses, collected 0 cloc addr
test 7: 0 use 81732 random addresses, collected 0 cloc addr
test 8: 0 use 81484 random addresses, collected 0 cloc addr
test 9: 0 use 81644 random addresses, collected 0 cloc addr
test 10: 0 use 81088 random addresses, collected 0 cloc addr
test 11: 0 use 81222 random addresses, collected 0 cloc addr
test 12: 0 use 81477 random addresses, collected 0 cloc addr
test 13: 0 use 81293 random addresses, collected 0 cloc addr
test 14: 0 use 81164 random addresses, collected 0 cloc addr
test 15: 0 use 81659 random addresses, collected 0 cloc addr
test 16: 0 use 81867 random addresses, collected 0 cloc addr
test 17: 0 use 81267 random addresses, collected 0 cloc addr
test 18: 0 use 80981 random addresses, collected 0 cloc addr
test 19: 0 use 81178 random addresses, collected 0 cloc addr
test 20: 0 use 81506 random addresses, collected 0 cloc addr
test 21: 0 use 81293 random addresses, collected 0 cloc addr
test 22: 0 use 81154 random addresses, collected 0 cloc addr
test 23: 0 use 81124 random addresses, collected 0 cloc addr
test 24: 0 use 81186 random addresses, collected 0 cloc addr
test 25: 0 use 81200 random addresses, collected 0 cloc addr
test 26: 0 use 81114 random addresses, collected 0 cloc addr
test 27: 0 use 81217 random addresses, collected 0 cloc addr
test 28: 0 use 81393 random addresses, collected 0 cloc addr
test 29: 0 use 81208 random addresses, collected 0 cloc addr
test 30: 0 use 81416 random addresses, collected 0 cloc addr
test 31: 0 use 81543 random addresses, collected 0 cloc addr
test 32: 0 use 81675 random addresses, collected 0 cloc addr
test 33: 0 use 81227 random addresses, collected 0 cloc addr
test 34: 0 use 81174 random addresses, collected 0 cloc addr
test 35: 0 use 81282 random addresses, collected 0 cloc addr
test 36: 0 use 80946 random addresses, collected 0 cloc addr
test 37: 0 use 81207 random addresses, collected 0 cloc addr
test 38: 0 use 81185 random addresses, collected 0 cloc addr
test 39: 0 use 81684 random addresses, collected 0 cloc addr
test 40: 0 use 81422 random addresses, collected 0 cloc addr
test 41: 0 use 81520 random addresses, collected 0 cloc addr
test 42: 0 use 81209 random addresses, collected 0 cloc addr
test 43: 0 use 81816 random addresses, collected 0 cloc addr
test 44: 0 use 81274 random addresses, collected 0 cloc addr
test 45: 0 use 81119 random addresses, collected 0 cloc addr
test 46: 0 use 81340 random addresses, collected 0 cloc addr
test 47: 0 use 81304 random addresses, collected 0 cloc addr
test 48: 0 use 81801 random addresses, collected 0 cloc addr
test 49: 0 use 81186 random addresses, collected 0 cloc addr
test 50: 0 use 81373 random addresses, collected 0 cloc addr
test 51: 0 use 81153 random addresses, collected 0 cloc addr
test 52: 0 use 81267 random addresses, collected 0 cloc addr
test 53: 0 use 81167 random addresses, collected 0 cloc addr
test 54: 0 use 81909 random addresses, collected 0 cloc addr
test 55: 0 use 81948 random addresses, collected 0 cloc addr
test 56: 0 use 81695 random addresses, collected 0 cloc addr
test 57: 0 use 81330 random addresses, collected 0 cloc addr
test 58: 0 use 81228 random addresses, collected 0 cloc addr
test 59: 0 use 81451 random addresses, collected 0 cloc addr
test 60: 0 use 81281 random addresses, collected 0 cloc addr
test 61: 0 use 81212 random addresses, collected 0 cloc addr
test 62: 0 use 81567 random addresses, collected 0 cloc addr
test 63: 0 use 81239 random addresses, collected 0 cloc addr
test 64: 0 use 81794 random addresses, collected 0 cloc addr
test 65: 0 use 81526 random addresses, collected 0 cloc addr
test 66: 0 use 81403 random addresses, collected 0 cloc addr
test 67: 0 use 81460 random addresses, collected 0 cloc addr
test 68: 0 use 81314 random addresses, collected 0 cloc addr
test 69: 0 use 81542 random addresses, collected 0 cloc addr
test 70: 0 use 81346 random addresses, collected 0 cloc addr
test 71: 0 use 81533 random addresses, collected 0 cloc addr
test 72: 0 use 81284 random addresses, collected 0 cloc addr
test 73: 0 use 81063 random addresses, collected 0 cloc addr
test 74: 0 use 81241 random addresses, collected 0 cloc addr
test 75: 0 use 81333 random addresses, collected 0 cloc addr
test 76: 0 use 81397 random addresses, collected 0 cloc addr
test 77: 0 use 81241 random addresses, collected 0 cloc addr
test 78: 0 use 81241 random addresses, collected 0 cloc addr
test 79: 0 use 81790 random addresses, collected 0 cloc addr
test 80: 0 use 81670 random addresses, collected 0 cloc addr
test 81: 0 use 81412 random addresses, collected 0 cloc addr
test 82: 0 use 81076 random addresses, collected 0 cloc addr
test 83: 0 use 81571 random addresses, collected 0 cloc addr
test 84: 0 use 81280 random addresses, collected 0 cloc addr
test 85: 0 use 80871 random addresses, collected 0 cloc addr
test 86: 0 use 81469 random addresses, collected 0 cloc addr
test 87: 0 use 81202 random addresses, collected 0 cloc addr
test 88: 0 use 81082 random addresses, collected 0 cloc addr
test 89: 0 use 81476 random addresses, collected 0 cloc addr
test 90: 0 use 81605 random addresses, collected 0 cloc addr
test 91: 0 use 81365 random addresses, collected 0 cloc addr
test 92: 0 use 81351 random addresses, collected 0 cloc addr
test 93: 0 use 81194 random addresses, collected 0 cloc addr
test 94: 0 use 81839 random addresses, collected 0 cloc addr
test 95: 0 use 81284 random addresses, collected 0 cloc addr
test 96: 0 use 81387 random addresses, collected 0 cloc addr
test 97: 0 use 81310 random addresses, collected 0 cloc addr
test 98: 0 use 81283 random addresses, collected 0 cloc addr
test 99: 0 use 81256 random addresses, collected 0 cloc addr
success rate: 0 using 469148 evictions.
