warm up finished
test 0: 0 use 272208 random addresses, collected 0 cloc addrs
test 1: 0 use 243170 random addresses, collected 0 cloc addrs
test 2: 0 use 287705 random addresses, collected 0 cloc addrs
test 3: 0 use 216636 random addresses, collected 0 cloc addrs
test 4: 0 use 352783 random addresses, collected 0 cloc addrs
test 5: 0 use 289613 random addresses, collected 0 cloc addrs
test 6: 0 use 283148 random addresses, collected 0 cloc addrs
test 7: 0 use 232242 random addresses, collected 0 cloc addrs
test 8: 0 use 334376 random addresses, collected 0 cloc addrs
test 9: 0 use 250599 random addresses, collected 0 cloc addrs
test 10: 0 use 361764 random addresses, collected 0 cloc addrs
test 11: 0 use 304001 random addresses, collected 0 cloc addrs
test 12: 0 use 236886 random addresses, collected 0 cloc addrs
test 13: 0 use 360912 random addresses, collected 0 cloc addrs
test 14: 0 use 332082 random addresses, collected 0 cloc addrs
test 15: 0 use 227801 random addresses, collected 0 cloc addrs
test 16: 0 use 330962 random addresses, collected 0 cloc addrs
test 17: 0 use 268357 random addresses, collected 0 cloc addrs
test 18: 0 use 327642 random addresses, collected 0 cloc addrs
test 19: 0 use 254433 random addresses, collected 0 cloc addrs
success rate: 0 using 617563 evictions.
