warm up finished
test 0: 0 use 95283 random addresses, collected 0 cloc addr
test 1: 0 use 95446 random addresses, collected 0 cloc addr
test 2: 0 use 95183 random addresses, collected 0 cloc addr
test 3: 0 use 95665 random addresses, collected 0 cloc addr
test 4: 0 use 95439 random addresses, collected 0 cloc addr
test 5: 0 use 94920 random addresses, collected 0 cloc addr
test 6: 0 use 95554 random addresses, collected 0 cloc addr
test 7: 0 use 94436 random addresses, collected 0 cloc addr
test 8: 0 use 95172 random addresses, collected 0 cloc addr
test 9: 0 use 95239 random addresses, collected 0 cloc addr
test 10: 0 use 94577 random addresses, collected 0 cloc addr
test 11: 0 use 95160 random addresses, collected 0 cloc addr
test 12: 0 use 94996 random addresses, collected 0 cloc addr
test 13: 0 use 95248 random addresses, collected 0 cloc addr
test 14: 0 use 95281 random addresses, collected 0 cloc addr
test 15: 0 use 95198 random addresses, collected 0 cloc addr
test 16: 0 use 95222 random addresses, collected 0 cloc addr
test 17: 0 use 94913 random addresses, collected 0 cloc addr
test 18: 0 use 95384 random addresses, collected 0 cloc addr
test 19: 0 use 95730 random addresses, collected 0 cloc addr
success rate: 0 using 455301 evictions.
