warm up finished
test 0: 1 use 302156 random addresses, collected 16 cloc addrs
test 1: 2 use 254028 random addresses, collected 16 cloc addrs
test 2: 3 use 302083 random addresses, collected 16 cloc addrs
test 3: 4 use 297971 random addresses, collected 16 cloc addrs
test 4: 5 use 182315 random addresses, collected 16 cloc addrs
test 5: 6 use 245924 random addresses, collected 16 cloc addrs
test 6: 7 use 274274 random addresses, collected 16 cloc addrs
test 7: 8 use 244819 random addresses, collected 16 cloc addrs
test 8: 9 use 185076 random addresses, collected 16 cloc addrs
test 9: 10 use 391708 random addresses, collected 16 cloc addrs
test 10: 11 use 313090 random addresses, collected 16 cloc addrs
test 11: 12 use 404238 random addresses, collected 16 cloc addrs
test 12: 13 use 173501 random addresses, collected 16 cloc addrs
test 13: 14 use 167456 random addresses, collected 16 cloc addrs
test 14: 15 use 403621 random addresses, collected 16 cloc addrs
test 15: 16 use 188825 random addresses, collected 16 cloc addrs
test 16: 17 use 264840 random addresses, collected 16 cloc addrs
test 17: 18 use 156749 random addresses, collected 16 cloc addrs
test 18: 19 use 407871 random addresses, collected 16 cloc addrs
test 19: 20 use 242146 random addresses, collected 16 cloc addrs
success rate: 1 using 601017 evictions.
