warm up finished
test 0: 0 use 107718 random addresses, collected 0 cloc addr
test 1: 0 use 107724 random addresses, collected 0 cloc addr
test 2: 0 use 108161 random addresses, collected 0 cloc addr
test 3: 1 use 107030 random addresses, collected 16 cloc addr
test 4: 1 use 106540 random addresses, collected 0 cloc addr
test 5: 1 use 106957 random addresses, collected 0 cloc addr
test 6: 1 use 107834 random addresses, collected 0 cloc addr
test 7: 2 use 106747 random addresses, collected 16 cloc addr
test 8: 2 use 107064 random addresses, collected 0 cloc addr
test 9: 2 use 106923 random addresses, collected 0 cloc addr
test 10: 2 use 108791 random addresses, collected 0 cloc addr
test 11: 2 use 106779 random addresses, collected 0 cloc addr
test 12: 2 use 107179 random addresses, collected 0 cloc addr
test 13: 2 use 106230 random addresses, collected 0 cloc addr
test 14: 2 use 108101 random addresses, collected 0 cloc addr
test 15: 2 use 106184 random addresses, collected 0 cloc addr
test 16: 2 use 107146 random addresses, collected 0 cloc addr
test 17: 2 use 107555 random addresses, collected 0 cloc addr
test 18: 2 use 106979 random addresses, collected 0 cloc addr
test 19: 3 use 108745 random addresses, collected 16 cloc addr
success rate: 0.15 using 443185 evictions.
