#index, case-name, seconds, spike-time, instructions, accesses, misses, evictions, relocations, remaps, predict-hit, mem-acc, mem-read, mem-write, APKI, MPKI, Reloc-PKI, reloc-rate, Remap-PGI, predict-rate, Mem-APKI
0,500.perlbench,35.333333333333336,2200000.0,204776030.33333334,1398825.3333333333,8054.333333333333,8054.333333333333,0.0,0.0,0.0,15555.333333333334,8054.666666666667,7500.666666666667,6.8310013191306265,0.03933240291953376,0.0,0.0,0.0,0.0,0.07596266666568564
1,502.gcc,47.4,2639680.0,243042370.2,1503727.6,361383.4,361383.4,0.0,0.0,0.0,692115.0,361383.8,330731.2,6.187100622671594,1.4869152226528115,0.0,0.0,0.0,0.0,2.8477133408074375
2,503.bwaves,48.0,2199850.0,204158776.5,13903565.25,9466826.75,9466827.0,0.0,0.0,0.0,18903527.0,9466857.0,9436670.0,68.10172694192258,46.36992301920461,0.0,0.0,0.0,0.0,92.5922819683434
3,505.mcf,27.0,2199950.0,215058585.0,463638.0,103143.0,103143.0,0.0,0.0,0.0,196654.0,103143.0,93511.0,2.155868364892292,0.47960419715399877,0.0,0.0,0.0,0.0,0.9144205984615773
4,507.cactuBSSN,57.0,3299550.0,281843609.0,1861590.0,741051.0,741051.0,0.0,0.0,0.0,1442816.0,741073.0,701743.0,6.605045992013252,2.6292985767152874,0.0,0.0,0.0,0.0,5.119207794419068
5,508.namd,26.0,2197750.0,217717150.0,40334.0,11078.0,11078.0,0.0,0.0,0.0,21343.0,11078.0,10265.0,0.18525871756083523,0.05088253268059039,0.0,0.0,0.0,0.0,0.09803086252047669
6,510.parest,39.0,3299700.0,302898356.0,2250459.0,426212.0,426212.0,0.0,0.0,0.0,801560.0,426216.0,375344.0,7.4297498002927425,1.4071122921512325,0.0,0.0,0.0,0.0,2.646300265822506
7,511.povray,29.0,2199500.0,215590676.0,362601.0,40776.0,40776.0,0.0,0.0,0.0,81441.0,40776.0,40665.0,1.681895556559227,0.18913619436862844,0.0,0.0,0.0,0.0,0.3777575241704794
8,519.lbm,46.0,2200250.0,212879868.0,13331160.0,6943195.0,6943195.0,0.0,0.0,0.0,13861496.0,6943226.0,6918270.0,62.62292496348222,32.615554797318836,0.0,0.0,0.0,0.0,65.11417040149611
9,520.omnetpp,33.0,2197750.0,210087460.0,784326.0,90406.0,90406.0,0.0,0.0,0.0,180156.0,90406.0,89750.0,3.7333308708668285,0.4303255415625473,0.0,0.0,0.0,0.0,0.8575285740519687
10,521.wrf,36.0,3299900.0,232288638.0,2967248.0,1824271.0,1824271.0,0.0,0.0,0.0,3597294.0,1824303.0,1772991.0,12.773969598977976,7.8534663413024965,0.0,0.0,0.0,0.0,15.48631061326383
11,523.xalancbmk,32.0,2199450.0,210630151.0,2549063.0,82605.0,82605.0,0.0,0.0,0.0,162651.0,82605.0,80046.0,12.102080295237505,0.39218031990111424,0.0,0.0,0.0,0.0,0.7722113820257386
12,526.blender,39.0,3301300.0,288280847.0,1195564.0,415518.0,415518.0,0.0,0.0,0.0,752173.0,415536.0,336637.0,4.147219672904597,1.4413652669752286,0.0,0.0,0.0,0.0,2.6091674414984634
13,527.cam4,41.0,3299550.0,288625222.0,3402368.0,2276705.0,2276706.0,0.0,0.0,0.0,4519945.0,2276734.0,2243211.0,11.788186688687935,7.888101338558693,0.0,0.0,0.0,0.0,15.66025646920074
14,531.deepsjeng,63.0,2199800.0,218718893.0,20519713.0,10623611.0,10623611.0,0.0,0.0,0.0,21219901.0,10623634.0,10596267.0,93.81774349049947,48.571985960078905,0.0,0.0,0.0,0.0,97.01905815699241
15,538.imagick,28.0,2199750.0,212705650.0,266807.0,65503.0,65503.0,0.0,0.0,0.0,120696.0,65503.0,55193.0,1.2543484387932338,0.3079513872809679,0.0,0.0,0.0,0.0,0.5674320357733798
16,541.leela,14.0,2199400.0,218187392.0,55675.0,12966.0,12966.0,0.0,0.0,0.0,25932.0,12966.0,12966.0,0.255170564575977,0.05942598186424997,0.0,0.0,0.0,0.0,0.11885196372849995
17,544.nab,29.0,2199950.0,212623254.0,175053.0,41119.0,41119.0,0.0,0.0,0.0,82221.0,41119.0,41102.0,0.8233012932818722,0.19338900720614502,0.0,0.0,0.0,0.0,0.3866980607868977
18,548.exchange2,21.0,2199400.0,217841817.0,12919.0,559.0,559.0,0.0,0.0,0.0,1118.0,559.0,559.0,0.059304499833473204,0.0025660821585967585,0.0,0.0,0.0,0.0,0.005132164317193517
19,549.fotonik3d,37.0,2199800.0,218555955.0,1246302.0,1073430.0,1073430.0,0.0,0.0,0.0,2128288.0,1073457.0,1054831.0,5.702438993254611,4.911465349914625,0.0,0.0,0.0,0.0,9.737954749391294
20,554.roms,56.0,3299450.0,228846598.0,12336921.0,7708862.0,7708863.0,0.0,0.0,0.0,15395139.0,7708890.0,7686249.0,53.909129992834764,33.685718150811226,0.0,0.0,0.0,0.0,67.27274573686256
21,557.xz,45.666666666666664,2199533.3333333335,211036298.33333334,8880833.333333334,8083577.333333333,8083577.333333333,0.0,0.0,0.0,16152610.333333334,8083578.0,8069032.333333333,42.082018133705105,38.3042035762268,0.0,0.0,0.0,0.0,76.5394885187958
22,average,37.700,2519602.879,230290618.017,4068576.933,2290947.810,2290947.912,0.000,0.000,0.000,4561574.167,2290958.976,2270615.191,18.375,10.423,0.000,0.000,0.000,0.000,20.764
23,geomean,35.707,2477253.324,228566057.590,1157887.175,276054.664,276054.672,0.000,0.000,0.000,539908.560,276057.097,263616.318,5.066,1.208,0.000,0.000,0.000,0.000,2.362
