#index, case-name, seconds, spike-time, instructions, accesses, misses, evictions, relocations, remaps, predict-hit, mem-acc, mem-read, mem-write, APKI, MPKI, Reloc-PKI, reloc-rate, Remap-PGI, predict-rate, Mem-APKI
0,500.perlbench,33.0,2199000.0,205657604.33333334,1424851.3333333333,23896.0,23896.0,0.0,0.0,0.0,45550.0,23896.333333333332,21653.666666666668,6.928269625391094,0.11619312632500065,0.0,0.0,0.0,0.0,0.2214846377679854
1,502.gcc,46.6,2639600.0,243018109.6,1506439.6,313954.2,313954.2,0.0,0.0,0.0,604633.6,313955.0,290678.6,6.198877945678827,1.291896313886889,0.0,0.0,0.0,0.0,2.4880186953770957
2,503.bwaves,78.5,2199825.0,203936352.25,13923260.0,10624701.0,10624701.25,196608.0,0.75,0.0,21200624.25,10624731.25,10575893.0,68.27257546968309,52.098122197338654,0.9640654931347582,0.018504802664451387,3.6776180005445793,0.0,103.95706315277589
3,505.mcf,31.0,2199950.0,215884336.0,433475.0,151893.0,151893.0,0.0,0.0,0.0,300273.0,151893.0,148380.0,2.007903899058244,0.7035850901197389,0.0,0.0,0.0,0.0,1.3908975776732593
4,507.cactuBSSN,53.0,3299500.0,282448530.0,1902633.0,818725.0,818725.0,0.0,0.0,0.0,1598510.0,818746.0,779764.0,6.73621137274108,2.898669715151288,0.0,0.0,0.0,0.0,5.659473603916437
5,508.namd,27.0,2197700.0,217735841.0,38918.0,10885.0,10885.0,0.0,0.0,0.0,20837.0,10885.0,9952.0,0.1787395213450412,0.04999176961408021,0.0,0.0,0.0,0.0,0.0956985304040964
6,510.parest,30.0,3252250.0,297101169.0,2149415.0,419269.0,419269.0,0.0,0.0,0.0,784045.0,419278.0,364767.0,7.2346231663598735,1.4111994288383294,0.0,0.0,0.0,0.0,2.6389832212339766
7,511.povray,27.0,2199700.0,215608453.0,369771.0,39220.0,39220.0,0.0,0.0,0.0,76537.0,39220.0,37317.0,1.7150116094938077,0.18190381431844882,0.0,0.0,0.0,0.0,0.3549814440716756
8,519.lbm,57.0,2152600.0,205901016.0,13244252.0,7180737.0,7180738.0,262144.0,1.0,0.0,14330803.0,7180772.0,7150033.0,64.32339313954624,34.8747040665404,1.2731554466928905,0.03650655406171344,4.856702601214945,0.0,69.60044820759893
9,520.omnetpp,35.0,2197500.0,210050624.0,794119.0,89806.0,89806.0,0.0,0.0,0.0,175576.0,89806.0,85770.0,3.780607669130276,0.4275445523075428,0.0,0.0,0.0,0.0,0.835874688951174
10,521.wrf,39.0,3299850.0,233167079.0,2973755.0,1836410.0,1836667.0,262144.0,1.0,0.0,3624606.0,1836443.0,1788163.0,12.753751570563699,7.875940325177724,1.1242753527825426,0.14272810476803907,4.288770114069147,0.0,15.545101888075717
11,523.xalancbmk,30.0,2199700.0,210758064.0,2605081.0,80581.0,80461.0,0.0,0.0,0.0,159039.0,80581.0,78458.0,12.360528231081114,0.38233886984272164,0.0,0.0,0.0,0.0,0.754604578261831
12,526.blender,33.0,3301300.0,288381447.0,1203238.0,415375.0,415344.0,0.0,0.0,0.0,766103.0,415379.0,350724.0,4.172383530622898,1.4403665850251455,0.0,0.0,0.0,0.0,2.6565613286488574
13,527.cam4,43.0,3299600.0,287826294.0,3365585.0,2250638.0,2250639.0,0.0,0.0,0.0,4467194.0,2250670.0,2216524.0,11.693111679365888,7.819431535327346,0.0,0.0,0.0,0.0,15.520451373355069
14,531.deepsjeng,107.0,2199800.0,218713126.0,20436193.0,11048766.0,11048766.0,0.0,0.0,0.0,22074777.0,11048781.0,11025996.0,93.43834717994932,50.51716009033678,0.0,0.0,0.0,0.0,100.93027978576832
15,538.imagick,36.0,2200000.0,213427662.0,290585.0,54903.0,54903.0,0.0,0.0,0.0,107957.0,54904.0,53053.0,1.3615151722928962,0.2572440680158882,0.0,0.0,0.0,0.0,0.5058247791703776
16,541.leela,15.0,2199450.0,218243074.0,54985.0,29830.0,29830.0,0.0,0.0,0.0,58412.0,29830.0,28582.0,0.25194384862815855,0.1366824589356728,0.0,0.0,0.0,0.0,0.26764652334396644
