#index, case-name, seconds, spike-time, instructions, accesses, misses, evictions, relocations, remaps, predict-hit, mem-acc, mem-read, mem-write, APKI, MPKI, Reloc-PKI, reloc-rate, Remap-PGI, predict-rate, Mem-APKI
0,500.perlbench,41.333333333333336,2199666.6666666665,205683266.66666666,1423120.6666666667,31153.666666666668,31153.666666666668,93471.0,0.0,0.0,59714.0,31155.0,28559.0,6.918990979334246,0.1514642740342838,0.4544414405449933,3.000320989503643,0.0,0.0,0.29032016540642264
1,502.gcc,60.2,2639700.0,243012240.0,1505706.4,323966.0,323966.2,971914.4,0.0,0.0,623098.8,323970.2,299128.6,6.196010538399218,1.3331262655741127,3.9994462830349615,3.0000487705198875,0.0,0.0,2.5640634397674784
2,503.bwaves,136.75,3002287.5,280786464.0,15672552.75,10953561.0,10953561.0,32860928.25,0.0,0.0,21760416.75,10953588.75,10806828.0,55.81662494243312,39.01028861562215,117.03173928640663,3.00002238997893,0.0,0.0,77.49809745102243
3,505.mcf,41.0,2199950.0,213970077.0,482031.0,180193.0,180193.0,540605.0,0.0,0.0,351889.0,180194.0,171695.0,2.252796310392504,0.8421411186387525,2.5265448682340756,3.0001442897337856,0.0,0.0,1.6445710771043935
4,507.cactuBSSN,70.0,3199650.0,272535018.0,1863426.0,730250.0,730250.0,2190764.0,0.0,0.0,1423352.0,730271.0,693081.0,6.837381902974391,2.679472184378156,8.03846792267994,3.000019171516604,0.0,0.0,5.222638949098277
5,508.namd,32.0,2197800.0,217755237.0,40184.0,10710.0,10710.0,32134.0,0.0,0.0,20516.0,10710.0,9806.0,0.18453746763390128,0.04918366211325609,0.14756935558798984,3.000373482726424,0.0,0.0,0.09421587412843715
6,510.parest,43.0,3299650.0,302622945.0,2208134.0,422779.0,422779.0,1268340.0,0.0,0.0,804268.0,422788.0,381480.0,7.296650952887925,1.3970487267579792,4.191156093600239,3.000007095905899,0.0,0.0,2.6576570391911294
7,511.povray,36.0,2199250.0,212892136.0,399235.0,47641.0,47641.0,142923.0,0.0,0.0,93592.0,47641.0,45951.0,1.8752923781083206,0.2237799896939359,0.6713399690818077,3.0,0.0,0.0,0.4396216871063758
8,519.lbm,97.0,2200200.0,212877243.0,13328532.0,6945759.0,6945759.0,20837309.0,0.0,0.0,13865046.0,6945795.0,6919251.0,62.611352026951984,32.62800148158627,97.8841547661344,3.000004607127889,0.0,0.0,65.13164960521402
9,520.omnetpp,44.0,2195800.0,209894556.0,808204.0,90378.0,90378.0,271132.0,0.0,0.0,175081.0,90379.0,84702.0,3.8505238792377257,0.43058763277309586,1.2917533697253205,2.9999778707207505,0.0,0.0,0.8341378801649338
10,521.wrf,57.0,3299850.0,232981203.0,3032862.0,1860644.0,1860644.0,5581936.0,0.0,0.0,3661879.0,1860659.0,1801220.0,13.017625288852166,7.986240847078123,23.95873971000141,3.000002149793297,0.0,0.0,15.717486873823036
11,523.xalancbmk,41.0,2199550.0,211031734.0,2634707.0,81285.0,81285.0,243845.0,0.0,0.0,156713.0,81285.0,75428.0,12.484885330089739,0.38517903662773295,1.1554897236450703,2.999876976071846,0.0,0.0,0.7426039535835876
12,526.blender,54.0,3301350.0,288407730.0,1185645.0,422383.0,422383.0,1267159.0,0.0,0.0,780289.0,422407.0,357882.0,4.111002850027632,1.4645342550284626,4.393637438219843,3.000023675195261,0.0,0.0,2.705506541034805
13,527.cam4,59.0,3299750.0,288311290.0,3356392.0,2250834.0,2250834.0,6752522.0,0.0,0.0,4456421.0,2250866.0,2205555.0,11.641555902996377,7.806957542314767,23.420941996409507,3.000008885595295,0.0,0.0,15.456977075021932
14,531.deepsjeng,142.0,2199800.0,218940187.0,20539713.0,10666514.0,10666514.0,31999606.0,0.0,0.0,21314432.0,10666545.0,10647887.0,93.81426626807439,48.71884940885704,146.15684054385136,3.000006000085876,0.0,0.0,97.35276237797312
15,538.imagick,39.0,2199750.0,212755592.0,271395.0,89851.0,89851.0,269569.0,0.0,0.0,175550.0,89852.0,85698.0,1.2756186450789035,0.4223202744302016,1.2670360269543468,3.0001780725868383,0.0,0.0,0.8251251981193519
16,541.leela,18.0,2199600.0,218188425.0,55139.0,15384.0,15384.0,46154.0,0.0,0.0,30535.0,15384.0,15151.0,0.2527127642082755,0.07050786493371497,0.21153276119024186,3.0001300052002082,0.0,0.0,0.13994784553763565
17,544.nab,36.0,2200050.0,212335260.0,185575.0,41544.0,41544.0,124642.0,0.0,0.0,81999.0,41545.0,40454.0,0.873971661607215,0.19565285577157557,0.5870056626487753,3.0002407086462544,0.0,0.0,0.38617702966525674
18,548.exchange2,27.0,2199150.0,218132478.0,9481.0,212.0,212.0,628.0,0.0,0.0,423.0,212.0,211.0,0.04346441248423355,0.0009718864514985247,0.002878984394061667,2.9622641509433962,0.0,0.0,0.001939188532942811
19,549.fotonik3d,51.0,2199600.0,218560655.0,1278536.0,1129379.0,1129379.0,3388156.0,0.0,0.0,2238118.0,1129409.0,1108709.0,5.849799452696552,5.167348167033998,15.50213143349154,3.000016823404721,0.0,0.0,10.240260306686947
20,554.roms,112.0,3299450.0,230196967.0,12407833.0,7792428.0,7792428.0,23377308.0,0.0,0.0,15559971.0,7792462.0,7767509.0,53.900940406395534,33.851132365267,101.55350135434234,3.0000030799129616,0.0,0.0,67.5941616554835
21,557.xz,97.33333333333333,2541700.0,244752400.0,9214876.0,8392746.0,8392746.0,25178245.333333332,0.0,0.0,16759430.0,8392749.333333334,8366680.666666667,37.649788112394404,34.290760785185356,102.87231231780906,3.000000873770436,0.0,0.0,68.47503844701829
22,average,60.664,2566979.735,234846504.712,4177421.810,2385436.121,2385436.130,7156331.408,0.000,0.000,4745124.252,2385448.513,2359675.739,17.671,9.959,29.878,2.998,0.000,0.000,19.819
23,geomean,52.911,2525426.050,233073786.280,1165279.072,298039.951,298039.960,893624.602,0.000,0.000,583087.006,298043.726,284922.284,5.000,1.279,3.834,2.998,0.000,0.000,2.502
