#index, case-name, seconds, spike-time, instructions, accesses, misses, evictions, relocations, remaps, predict-hit, mem-acc, mem-read, mem-write, APKI, MPKI, Reloc-PKI, reloc-rate, Remap-PGI, predict-rate, Mem-APKI
0,500.perlbench,40.333333333333336,2198966.6666666665,205642199.0,1423832.0,47916.0,47916.0,0.0,0.0,0.0,91597.0,47919.333333333336,43677.666666666664,6.923831815278342,0.23300665054646688,0.0,0.0,0.0,0.0,0.44541927894867533
1,502.gcc,60.0,2639530.0,242983652.0,1513191.4,322006.8,322006.8,0.0,0.0,0.0,615245.0,322014.2,293230.8,6.2275440653925145,1.3252200193287078,0.0,0.0,0.0,0.0,2.532042772984579
2,503.bwaves,337.0,3002400.0,281877067.0,15733037.5,11226956.75,11226956.75,0.0,0.0,0.0,22280106.5,11226981.0,11053125.5,55.8152448067015,39.829266245345174,0.0,0.0,0.0,0.0,79.04192681272649
3,505.mcf,45.0,2199950.0,215992895.0,429260.0,154329.0,154329.0,0.0,0.0,0.0,301253.0,154331.0,146922.0,1.9873801867417908,0.7145096138463258,0.0,0.0,0.0,0.0,1.3947356925791472
4,507.cactuBSSN,86.0,3299600.0,282744371.0,1936164.0,808245.0,808245.0,0.0,0.0,0.0,1572423.0,808252.0,764171.0,6.847754362543967,2.858571497432216,0.0,0.0,0.0,0.0,5.561288433218711
5,508.namd,33.0,2197700.0,217726071.0,42353.0,11147.0,11147.0,0.0,0.0,0.0,20593.0,11147.0,9446.0,0.19452424693779552,0.05119735982375762,0.0,0.0,0.0,0.0,0.09458215043066662
6,510.parest,58.0,3299750.0,302626512.0,2214660.0,444867.0,444867.0,0.0,0.0,0.0,849183.0,444874.0,404309.0,7.318129483645504,1.4700199168273795,0.0,0.0,0.0,0.0,2.8060429814556365
7,511.povray,35.0,2199500.0,215851551.0,412329.0,39416.0,39416.0,0.0,0.0,0.0,74952.0,39416.0,35536.0,1.9102433968612067,0.18260698066515166,0.0,0.0,0.0,0.0,0.3472386445812474
8,519.lbm,219.0,2200200.0,212859808.0,13331315.0,7362075.0,7362075.0,0.0,0.0,0.0,14687835.0,7362082.0,7325753.0,62.62955475370907,34.58649647941052,0.0,0.0,0.0,0.0,69.0023877123858
9,520.omnetpp,43.0,2198600.0,210637706.0,815497.0,90234.0,90234.0,0.0,0.0,0.0,172797.0,90238.0,82559.0,3.87156229284039,0.4283848400817658,0.0,0.0,0.0,0.0,0.8203516990448044
10,521.wrf,103.0,3299700.0,232934077.0,3003986.0,1900271.0,1900271.0,0.0,0.0,0.0,3722764.0,1900280.0,1822484.0,12.896292542031109,8.157977675374651,0.0,0.0,0.0,0.0,15.982049719586541
11,523.xalancbmk,37.0,2199700.0,210944122.0,2588820.0,88058.0,88058.0,0.0,0.0,0.0,166907.0,88063.0,78844.0,12.272539170349578,0.4174470431558174,0.0,0.0,0.0,0.0,0.7912379753345296
12,526.blender,50.0,3301400.0,288354815.0,1190493.0,446388.0,446388.0,0.0,0.0,0.0,822825.0,446395.0,376430.0,4.128569866260079,1.548051139704395,0.0,0.0,0.0,0.0,2.8535157285304913
13,527.cam4,111.0,3299500.0,287685358.0,3345284.0,2294975.0,2294975.0,0.0,0.0,0.0,4539435.0,2294987.0,2244449.0,11.62827341390103,7.97737853589337,0.0,0.0,0.0,0.0,15.779165931691248
14,531.deepsjeng,304.0,2199800.0,218953068.0,20461758.0,11260621.0,11260621.0,0.0,0.0,0.0,22495792.0,11260633.0,11235159.0,93.45271197570065,51.42938211763263,0.0,0.0,0.0,0.0,102.74252928029307
15,538.imagick,38.0,2199950.0,213146788.0,266362.0,87651.0,87651.0,0.0,0.0,0.0,170939.0,87652.0,83287.0,1.249664620796444,0.41122364930969546,0.0,0.0,0.0,0.0,0.8019778369824648
16,541.leela,16.0,2199500.0,218193676.0,56040.0,20967.0,20967.0,0.0,0.0,0.0,40309.0,20967.0,19342.0,0.25683604138921057,0.0960935274769375,0.0,0.0,0.0,0.0,0.18473954304706797
17,544.nab,33.0,2199950.0,212331719.0,180178.0,44287.0,44287.0,0.0,0.0,0.0,85474.0,44289.0,41185.0,0.8485684609372941,0.20857458418635982,0.0,0.0,0.0,0.0,0.4025493713447495
18,548.exchange2,23.0,2198350.0,218336428.0,9282.0,336.0,336.0,0.0,0.0,0.0,652.0,336.0,316.0,0.042512374526892965,0.001538909485136397,0.0,0.0,0.0,0.0,0.0029862172152051512
19,549.fotonik3d,62.0,2199650.0,218513576.0,1245267.0,1102178.0,1102178.0,0.0,0.0,0.0,2180502.0,1102186.0,1078317.0,5.698808388912184,5.043979509996212,0.0,0.0,0.0,0.0,9.978794177987368
20,554.roms,250.0,3299600.0,229887362.0,12417109.0,7844767.0,7844767.0,0.0,0.0,0.0,15656795.0,7844779.0,7812016.0,54.01388267703033,34.124394363183825,0.0,0.0,0.0,0.0,68.10637550401748
21,557.xz,222.66666666666666,2542550.0,244459198.33333334,9282948.666666666,8498563.666666666,8498563.666666666,0.0,0.0,0.0,16962173.0,8498567.666666666,8463605.333333334,37.973407136878784,34.76475307375595,0.0,0.0,0.0,0.0,69.38651977771423
22,average,100.273,2571629.394,235576455.424,4177234.844,2458920.692,2458920.692,0.000,0.000,0.000,4886843.250,2458926.782,2427916.559,17.645,10.266,0.000,0.000,0.000,0.000,20.412
23,geomean,67.959,2529077.728,233752632.333,1161417.424,317446.522,317446.522,0.000,0.000,0.000,615380.481,317451.235,297753.566,4.969,1.358,0.000,0.000,0.000,0.000,2.633
