#index, case-name, seconds, spike-time, instructions, accesses, misses, evictions, relocations, remaps, predict-hit, mem-acc, mem-read, mem-write, APKI, MPKI, Reloc-PKI, reloc-rate, Remap-PGI, predict-rate, Mem-APKI
0,500.perlbench,48.666666666666664,2199200.0,205650120.66666666,1419037.6666666667,9383.333333333334,9383.333333333334,1716.0,0.0,1365058.6666666667,18155.0,9366.333333333334,8788.666666666666,6.900252049775117,0.04562765780498886,0.008344269356308442,0.1828774422735346,0.0,0.9683641119584162,0.08828100825395091
1,502.gcc,60.2,2639680.0,243042441.2,1503886.2,360141.8,360141.8,58231.6,0.0,1112098.4,689712.0,359993.2,329718.8,6.18775137615759,1.481806215498135,0.23959436760298639,0.1616907562521207,0.0,0.9723312306490856,2.837825346859625
2,503.bwaves,107.5,2199837.5,203970263.0,13904755.25,9564016.75,9564017.25,1481162.25,0.5,3571679.25,19097586.25,9562019.0,9535567.75,68.17050213834356,46.88927007953115,7.261657793714763,0.15486821189077216,2.451337722695391,0.8228275557258287,93.62926717410762
3,505.mcf,38.0,2199900.0,216015839.0,449085.0,116697.0,116697.0,21043.0,0.0,294090.0,225380.0,116511.0,108869.0,2.0789447758967343,0.540224274943098,0.09741415304273128,0.18032168778974608,0.0,0.8847792339073612,1.0433494184655598
4,507.cactuBSSN,60.0,3292850.0,281315457.0,1894141.0,711582.0,711581.0,110553.0,0.0,1127032.0,1382244.0,711501.0,670744.0,6.733156507642593,2.529480632128934,0.3929858713735733,0.15536249562593718,0.0,0.953045048915107,4.913501784581997
5,508.namd,27.0,2197700.0,217718620.0,41781.0,11440.0,11440.0,1726.0,0.0,30014.0,22077.0,11440.0,10637.0,0.19190365987070834,0.052544885687774434,0.007927663697298835,0.15087412587412588,0.0,0.9892225042022346,0.10140152459169546
6,510.parest,35.0,3299750.0,302905347.0,2226474.0,420635.0,420635.0,65558.0,0.0,1765643.0,789026.0,420459.0,368567.0,7.35039517146589,1.3886681241054486,0.2164306462374862,0.155854838517955,0.0,0.9777410943057493,2.604859926754611
7,511.povray,29.0,2199550.0,215609752.0,361401.0,41496.0,41496.0,6278.0,0.0,316288.0,82945.0,41496.0,41449.0,1.6761811404523113,0.19245882718700033,0.029117421367842396,0.15129169076537496,0.0,0.9886935183882715,0.3846996679445186
8,519.lbm,84.0,2200200.0,212888799.0,13330686.0,6937793.0,6937793.0,1040277.0,0.0,6184838.0,13850927.0,6937810.0,6913117.0,62.61807132464494,32.588811776799965,4.886480664490009,0.149943505088722,0.0,0.9674552663402938,65.06179312890951
9,520.omnetpp,38.0,2199450.0,206868837.0,801748.0,97681.0,97681.0,14652.0,0.0,699926.0,194765.0,97680.0,97085.0,3.875634492013894,0.47218808505217247,0.07082748766069584,0.1499984643891852,0.0,0.9941184574763481,0.9414902835268514
10,521.wrf,47.0,3299850.0,232461927.0,2982971.0,1829140.0,1829140.0,280764.0,0.0,1113044.0,3606828.0,1828772.0,1778056.0,12.832084111562923,7.868557331541005,1.2077848773919868,0.15349508512196988,0.0,0.9646508024138717,15.515779493645857
11,523.xalancbmk,32.0,2199600.0,210734444.0,2588993.0,81746.0,81746.0,12272.0,0.0,2488397.0,160999.0,81743.0,79256.0,12.285571123816855,0.3879100086742346,0.05823442891946036,0.15012355344604017,0.0,0.9924817937762015,0.7639899626470175
12,526.blender,37.0,3301400.0,288393591.0,1233746.0,414872.0,414872.0,62678.0,0.0,794454.0,755370.0,414798.0,340572.0,4.277993819911206,1.4385617882888388,0.2173349268361515,0.15107792282920998,0.0,0.9701785622696532,2.6192329634676246
13,527.cam4,44.0,3299750.0,287935054.0,3343717.0,2248209.0,2248209.0,337767.0,0.0,1058723.0,4468471.0,2248218.0,2220253.0,11.612747227366071,7.808042017697505,1.1730666180019886,0.15023825631869636,0.0,0.9664219704465873,15.519023953228007
14,531.deepsjeng,118.0,2199800.0,218715097.0,20518337.0,10633776.0,10633776.0,1594013.0,0.0,9556203.0,21241206.0,10633786.0,10607420.0,93.8130804934787,48.619304958175796,7.2880794323951035,0.14990093829322718,0.0,0.9667807199530662,97.11815183933096
15,538.imagick,32.0,2199900.0,213201804.0,263994.0,76610.0,76610.0,13930.0,0.0,169982.0,143367.0,76518.0,66849.0,1.2382353012360063,0.35933091823181756,0.06533715821654117,0.18183004829656702,0.0,0.9071318789224266,0.6724474057452159
16,541.leela,19.0,2199400.0,218166471.0,56152.0,10603.0,10603.0,1673.0,0.0,39452.0,21193.0,10603.0,10590.0,0.2573814378653996,0.04860050195339136,0.007668456075452584,0.15778553239649157,0.0,0.8661441524512064,0.09714141638198841
17,544.nab,29.0,2200050.0,212639981.0,185022.0,40889.0,40889.0,6376.0,0.0,139612.0,81744.0,40889.0,40855.0,0.87011858790563,0.1922921541269325,0.029984953770288383,0.1559343588740248,0.0,0.968633137449439,0.3844244135819406
18,548.exchange2,20.0,2198250.0,218326235.0,25710.0,39.0,39.0,9.0,0.0,25317.0,78.0,39.0,39.0,0.11775955372472759,0.00017863176177613285,4.122271425603066e-05,0.23076923076923078,0.0,0.9862101203692883,0.0003572635235522657
19,549.fotonik3d,43.0,2193600.0,217927857.0,1246524.0,1070501.0,1070501.0,160844.0,0.0,143402.0,2122963.0,1070436.0,1052527.0,5.719892890976301,4.912180639669209,0.7380607610893911,0.15025114409047727,0.0,0.8146776273555161,9.741586180054071
20,554.roms,98.0,3299750.0,228708279.0,12407338.0,7744119.0,7744119.0,1162672.0,0.0,4633509.0,15465171.0,7744013.0,7721158.0,54.249623381582964,33.86024779627676,5.083646316100346,0.15013612264997478,0.0,0.9936288645246985,67.61963785316227
21,557.xz,82.66666666666667,2199833.3333333335,211843519.0,8781986.666666666,7998133.333333333,7998133.333333333,1201089.3333333333,0.6666666666666666,757665.3333333334,15990198.333333334,7998007.333333333,7992191.0,41.455064134705324,37.75491160214976,5.669700630932841,0.1501712066148768,3.1469769281290434,0.9665906887342874,75.48117784681124
22,average,51.320,2519059.129,230229078.858,4071249.354,2291795.601,2291795.578,347058.372,0.053,1699383.075,4564109.345,2291640.812,2272468.601,18.387,10.429,1.580,0.160,0.254,0.949,20.779
23,geomean,44.894,2476744.452,228511126.942,1201537.769,247669.862,247669.847,39456.659,0.000,626980.680,485173.903,247599.249,237401.373,5.258,1.084,0.180,0.159,0.000,0.948,2.123
